file_x,file_y,decision,dist_l2,y,y_pred,y_pred_final,dist_l2_scaled
../Data/lfw_crop/Bill_Clinton/Bill_Clinton_0012.jpg,../Data/lfw_crop/Bill_Clinton/Bill_Clinton_0018.jpg,Yes,0.6631,1,Yes,No,-0.6631
../Data/lfw_crop/Hans_Blix/Hans_Blix_0014.jpg,../Data/lfw_crop/Hans_Blix/Hans_Blix_0027.jpg,Yes,0.5968,1,Yes,No,-0.5968
../Data/lfw_crop/Britney_Spears/Britney_Spears_0003.jpg,../Data/lfw_crop/Britney_Spears/Britney_Spears_0009.jpg,Yes,1.0172,1,Yes,No,-1.0172
../Data/lfw_crop/Hans_Blix/Hans_Blix_0010.jpg,../Data/lfw_crop/Hans_Blix/Hans_Blix_0023.jpg,Yes,0.6838,1,Yes,No,-0.6838
../Data/lfw_crop/Harrison_Ford/Harrison_Ford_0002.jpg,../Data/lfw_crop/Harrison_Ford/Harrison_Ford_0005.jpg,Yes,1.2284,1,No,No,-1.2284
../Data/lfw_crop/Jeff_Van_Gundy/Jeff_Van_Gundy_0002.jpg,../Data/lfw_crop/Jeff_Van_Gundy/Jeff_Van_Gundy_0003.jpg,Yes,1.2888,1,No,No,-1.2888
../Data/lfw_crop/Muhammad_Ali/Muhammad_Ali_0001.jpg,../Data/lfw_crop/Muhammad_Ali/Muhammad_Ali_0008.jpg,Yes,0.7978,1,Yes,No,-0.7978
../Data/lfw_crop/Hu_Jintao/Hu_Jintao_0011.jpg,../Data/lfw_crop/Hu_Jintao/Hu_Jintao_0012.jpg,Yes,0.8371,1,Yes,No,-0.8371
../Data/lfw_crop/Paul_ONeill/Paul_ONeill_0005.jpg,../Data/lfw_crop/Paul_ONeill/Paul_ONeill_0008.jpg,Yes,1.4047,1,No,No,-1.4047
../Data/lfw_crop/Hu_Jintao/Hu_Jintao_0001.jpg,../Data/lfw_crop/Hu_Jintao/Hu_Jintao_0004.jpg,Yes,0.5216,1,Yes,No,-0.5216
../Data/lfw_crop/Justin_Timberlake/Justin_Timberlake_0003.jpg,../Data/lfw_crop/Justin_Timberlake/Justin_Timberlake_0008.jpg,Yes,0.9868,1,Yes,No,-0.9868
../Data/lfw_crop/Paul_Bremer/Paul_Bremer_0001.jpg,../Data/lfw_crop/Paul_Bremer/Paul_Bremer_0004.jpg,Yes,0.7855,1,Yes,No,-0.7855
../Data/lfw_crop/Jacques_Chirac/Jacques_Chirac_0006.jpg,../Data/lfw_crop/Jacques_Chirac/Jacques_Chirac_0026.jpg,Yes,1.4785,1,No,No,-1.4785
../Data/lfw_crop/Silvio_Berlusconi/Silvio_Berlusconi_0015.jpg,../Data/lfw_crop/Silvio_Berlusconi/Silvio_Berlusconi_0023.jpg,Yes,1.4902,1,No,No,-1.4902
../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0016.jpg,../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0029.jpg,Yes,0.7216,1,Yes,No,-0.7216
../Data/lfw_crop/Lindsay_Davenport/Lindsay_Davenport_0001.jpg,../Data/lfw_crop/Lindsay_Davenport/Lindsay_Davenport_0006.jpg,Yes,1.4491,1,No,No,-1.4491
../Data/lfw_crop/Hans_Blix/Hans_Blix_0017.jpg,../Data/lfw_crop/Hans_Blix/Hans_Blix_0034.jpg,Yes,0.6493,1,Yes,No,-0.6493
../Data/lfw_crop/Yoriko_Kawaguchi/Yoriko_Kawaguchi_0004.jpg,../Data/lfw_crop/Yoriko_Kawaguchi/Yoriko_Kawaguchi_0013.jpg,Yes,0.4245,1,Yes,No,-0.4245
../Data/lfw_crop/Britney_Spears/Britney_Spears_0008.jpg,../Data/lfw_crop/Britney_Spears/Britney_Spears_0010.jpg,Yes,1.4228,1,No,No,-1.4228
../Data/lfw_crop/Bill_Clinton/Bill_Clinton_0004.jpg,../Data/lfw_crop/Bill_Clinton/Bill_Clinton_0006.jpg,Yes,0.8039,1,Yes,No,-0.8039
../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0032.jpg,../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0068.jpg,Yes,1.279,1,No,No,-1.279
../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0037.jpg,../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0073.jpg,Yes,0.8011,1,Yes,No,-0.8011
../Data/lfw_crop/Hugh_Grant/Hugh_Grant_0004.jpg,../Data/lfw_crop/Hugh_Grant/Hugh_Grant_0008.jpg,Yes,1.3071,1,No,No,-1.3071
../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0065.jpg,../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0076.jpg,Yes,1.3566,1,No,No,-1.3566
../Data/lfw_crop/James_Kelly/James_Kelly_0002.jpg,../Data/lfw_crop/James_Kelly/James_Kelly_0010.jpg,Yes,1.2253,1,No,No,-1.2253
../Data/lfw_crop/Rudolph_Giuliani/Rudolph_Giuliani_0007.jpg,../Data/lfw_crop/Rudolph_Giuliani/Rudolph_Giuliani_0015.jpg,Yes,1.2786,1,No,No,-1.2786
../Data/lfw_crop/Rudolph_Giuliani/Rudolph_Giuliani_0012.jpg,../Data/lfw_crop/Rudolph_Giuliani/Rudolph_Giuliani_0017.jpg,Yes,1.2568,1,No,No,-1.2568
../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0026.jpg,../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0042.jpg,Yes,0.8299,1,Yes,No,-0.8299
../Data/lfw_crop/Jacques_Chirac/Jacques_Chirac_0035.jpg,../Data/lfw_crop/Jacques_Chirac/Jacques_Chirac_0044.jpg,Yes,0.7479,1,Yes,No,-0.7479
../Data/lfw_crop/Hans_Blix/Hans_Blix_0018.jpg,../Data/lfw_crop/Hans_Blix/Hans_Blix_0027.jpg,Yes,1.3186,1,No,No,-1.3186
../Data/lfw_crop/Jacques_Chirac/Jacques_Chirac_0002.jpg,../Data/lfw_crop/Jacques_Chirac/Jacques_Chirac_0048.jpg,Yes,1.4626,1,No,No,-1.4626
../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0001.jpg,../Data/lfw_crop/Ariel_Sharon/Ariel_Sharon_0050.jpg,Yes,0.5891,1,Yes,No,-0.5891
../Data/lfw_crop/Silvio_Berlusconi/Silvio_Berlusconi_0002.jpg,../Data/lfw_crop/Silvio_Berlusconi/Silvio_Berlusconi_0033.jpg,Yes,1.0161,1,Yes,No,-1.0161
../Data/lfw_crop/Silvio_Berlusconi/Silvio_Berlusconi_0003.jpg,../Data/lfw_crop/Silvio_Berlusconi/Silvio_Berlusconi_0008.jpg,Yes,0.8653,1,Yes,No,-0.8653
../Data/lfw_crop/Silvio_Berlusconi/Silvio_Berlusconi_0017.jpg,../Data/lfw_crop/Silvio_Berlusconi/Silvio_Berlusconi_0021.jpg,Yes,1.4549,1,No,No,-1.4549
../Data/lfw_crop/Arnold_Schwarzenegger/Arnold_Schwarzenegger_0015.jpg,../Data/lfw_crop/Arnold_Schwarzenegger/Arnold_Schwarzenegger_0028.jpg,Yes,0.9537,1,Yes,No,-0.9537
../Data/lfw_crop/Paul_Bremer/Paul_Bremer_0008.jpg,../Data/lfw_crop/Paul_Bremer/Paul_Bremer_0011.jpg,Yes,1.4577,1,No,No,-1.4577
../Data/lfw_crop/Lindsay_Davenport/Lindsay_Davenport_0003.jpg,../Data/lfw_crop/Lindsay_Davenport/Lindsay_Davenport_0013.jpg,Yes,1.3924,1,No,No,-1.3924
